Major,Small Major Cluster,Large Major Cluster,Job Title,Small Job Title Cluster,Large Job Title Cluster
Political Science,Social Sciences,SOCIAL SCIENCES & HUMANITIES,Information Security Risk and Compliance Analyst,Legal & Policy,"Arts, Media & Legal"
K-12 World Lang. & Cultures,Teacher Education,EDUCATION & SOCIAL SERVICES,Spanish teacher,Education,Education & Service
Actuarial Science,Finance & Accounting,BUSINESS & MANAGEMENT,Cost and Data Analyst,Software & Data,Technology & Engineering
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Accounting Assistant/ Accounts Receivable,Accounting & Audit,Business & Finance
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Auditer,Accounting & Audit,Business & Finance
Neuroscience,Biological Sciences,NATURAL & HEALTH SCIENCES,Pharmacy technician,IT & Infrastructure,Technology & Engineering
Neuroscience,Biological Sciences,NATURAL & HEALTH SCIENCES,Pharmacy technician,IT & Infrastructure,Technology & Engineering
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Accountant,Accounting & Audit,Business & Finance
Mechanical Engineering,Engineering Disciplines,ENGINEERING & TECHNOLOGY,Product Engineer,Engineering,Technology & Engineering
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Tax Associate,Accounting & Audit,Business & Finance
Biochemistry,Biological Sciences,NATURAL & HEALTH SCIENCES,Automotive Mechanic,Unclassified Jobs,Unclassified
Mechanical Engineering,Engineering Disciplines,ENGINEERING & TECHNOLOGY,Mechanical Engineer,Engineering,Technology & Engineering
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,Receptionist,Unclassified Jobs,Unclassified
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
Actuarial Science,Finance & Accounting,BUSINESS & MANAGEMENT,Actuarial analyst t,Finance & Investment,Business & Finance
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
French,Languages,"ARTS, LANGUAGES & THEOLOGY",Analyst,Unclassified Jobs,Unclassified
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
Economics,Economics,SOCIAL SCIENCES & HUMANITIES,Customer Service Representative,Unclassified Jobs,Unclassified
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
Biology,Biological Sciences,NATURAL & HEALTH SCIENCES,Medical Analyst,Research & Science,Healthcare & Science
Exercise Science,Health & Wellness,NATURAL & HEALTH SCIENCES,Medical Assistant/ Rehabilitation Aide,Research & Science,Healthcare & Science
Economics - Business,Economics,SOCIAL SCIENCES & HUMANITIES,Data Analyst,Software & Data,Technology & Engineering
Biology,Biological Sciences,NATURAL & HEALTH SCIENCES,Bartender and Server,Unclassified Jobs,Unclassified
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
Actuarial Science,Finance & Accounting,BUSINESS & MANAGEMENT,Delivery Driver,Unclassified Jobs,Unclassified
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
Computer Science,Computer Science & IT,ENGINEERING & TECHNOLOGY,Neural Network Engineer,IT & Infrastructure,Technology & Engineering
French,Languages,"ARTS, LANGUAGES & THEOLOGY",International Operations Coordinator,Management & Operations,Business & Finance
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
Computer Science,Computer Science & IT,ENGINEERING & TECHNOLOGY,Analyst,Unclassified Jobs,Unclassified
Music - Business,Arts & Theology,"ARTS, LANGUAGES & THEOLOGY",Management Coordinator,Unclassified Jobs,Unclassified
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
Accounting,Finance & Accounting,BUSINESS & MANAGEMENT,,,
